id,name,carbon/past,val,carbon/future,energy/past,energy/present,energy/future,intensity/past,intensity/present,intensity/future,location/continent/id,location/continent/value,location/country/id,location/country/value,lat,lon,location/state/id,location/state/value,location/zip,location/city/id,location/city/value,location/metroarea/id,location/metroarea/value,location/county/id,location/county/value,location/congdist/id,location/congdist/value
57289,XUZHOU CHACHENG,0,2070800,2070800,0,1625500,1625500,0,1270,1270,6255147,Asia,1814991,China,34.180454,117.15707,1806260,Jiangsu Sheng,,,,,,,,,
4910,BLENOD,1649600,2070800,2734000,1772800,2305000,3615700,931,898,756,6255148,Europe,3017382,France,48.598141,5.839557,2997551,Lorraine,54707,,,,,,,,
32561,OMSK-4,2201800,2071500,2071500,1691100,1574800,1574800,1300,1320,1320,6255148,Europe,2017370,Russia,55,73.4,1496152,Omskaya Oblast�۪,,1496153,Omsk,,,,,,
33823,PASTORIA ENERGY FACILITY LLC,0,2073800,0,0,4979700,0,0,416,0,6255149,North America,6252001,United States,34.9556,-118.844,5332921,California,93243,,,,,5362932,Kern County,99990622,Kevin McCarthy
16126,GUADALUPE GENERATING STATION,1887700,2074000,2074000,4321400,4489200,4489200,437,462,462,6255149,North America,6252001,United States,29.6237,-98.1395,4736286,Texas,78124,,,,,4695361,Guadalupe County,99994828,Henry Cuellar
12689,ESCALANTE,2046800,2079500,2079500,1801800,1835900,1835900,1140,1130,1130,6255149,North America,6252001,United States,35.4159,-108.082,5481136,New Mexico,87045,,,,,5478585,McKinley County,99993503,Ben Ray Lujan
50354,XINHAI,3564400,2082400,0,2826400,1774100,0,1260,1170,0,6255147,Asia,1814991,China,34.731944,119.4425,1806260,Jiangsu Sheng,22202,,,,,,,,
27261,MARION,2370400,2084900,2084900,1913600,1734200,1734200,1240,1200,1200,6255149,North America,6252001,United States,37.6206,-88.955,4896861,Illinois,62959,,,99999166,"Carbondale-Marion-Herrin, IL",4253173,Williamson County,99991719,John Shimkus
46596,TUNGHSIAO,2956500,2093200,2093200,5984500,4164300,4164300,494,503,503,6255147,Asia,1668284,Taiwan,23.1425,120.158056,7280291,Taiwan,,,,,,,,,
10184,DANSKAMMER GENERATING STATION,2177700,2094200,2094200,2185200,2057800,2057800,997,1020,1020,6255149,North America,6252001,United States,41.5736,-73.9747,5128638,New York,12550,,,99999408,"New York-Newark-Bridgeport, NY-NJ-CT-PA",5129915,Orange County,99993622,Maurice D. Hinchey
20057,JAMSHORO,1930100,2102900,2102900,2911900,2896700,2896700,663,726,726,6255147,Asia,1168579,Pakistan,25.439393,68.290271,1164807,Sindh,,,,,,,,,
48444,VLADIVOSTOK-2,2181300,2105700,2105700,1674100,1600700,1600700,1300,1320,1320,6255148,Europe,2017370,Russia,43.10562023,131.8735313,2017623,Primorskiy Kray,,2013348,Vladivostok,,,,,,
44289,TAKASAGO,2659600,2111700,2111700,2675300,2468500,2468500,994,855,855,6255147,Asia,1861060,Japan,34.75198,134.80236,1862047,Hy��go-ken,676-0,,,,,,,,
20742,KADUY,2153800,2114400,2114400,1685800,1697500,1697500,1280,1250,1250,6255148,Europe,2017370,Russia,59.2,37.15,472454,Vologodskaya Oblast�۪,,,,,,,,,
14153,FRIMMERSDORF,7192800,2119600,3143700,5569400,1760300,2673000,1290,1200,1180,6255148,Europe,2921044,Germany,51.05638889,6.576944444,2861876,North Rhine-Westphalia,41517,2917540,Grevenbroich,,,,,,
2560,AURAIYA,1602700,2121400,2934800,3165200,4417000,5795800,506,480,506,6255147,Asia,1269750,India,26.7769,79.0239,1253626,Uttar Pradesh,206 2,1271987,Et��wah,,,,,,
37233,RIBATEJO,1170200,2130000,2130000,2792200,5059300,5059300,419,421,421,6255148,Europe,2264397,Portugal,39.0115052,-8.950252029,2267056,Lisbon,,,,,,,,,
21588,KAWASAKI NGG,0,2131000,2131000,0,5119100,5119100,0,416,416,6255147,Asia,1861060,Japan,35.5205556,139.7172222,1860291,Kanagawa-ken,,1859642,Kawasaki,,,,,,
6876,CAN,0,2131200,2131200,0,1707900,1707900,0,1250,1250,6255147,Asia,298795,Turkey,40.033282,27.052357,749778,��anakkale,,,,,,,,,
27097,MAOMING RUINENG,4182000,2131400,4391000,3354800,2062300,4039100,1250,1030,1090,6255147,Asia,1814991,China,21.65,110.9,1809935,Guangdong Sheng,,,,,,,,,
8184,CHEREPOVETS,0,2133000,3341100,0,1680900,4070400,0,1270,821,6255148,Europe,2017370,Russia,59.2,37.15,472454,Vologodskaya Oblast�۪,,,,,,,,,
36456,RAIGARH WORKS,581900,2133800,2133800,606110,1782000,1782000,960,1200,1200,6255147,Asia,1269750,India,21.9,83.4,1444364,State of Chhatt��sgarh,496 0,1259005,Raigarh,,,,,,
40844,SHAND,2226200,2136300,2136300,1860900,2212500,2212500,1200,966,966,6255149,North America,6251999,Canada,49.0879,-102.864,6141242,Saskatchewan,S4A 2,,,,,,,,
43578,SUGEN,0,2136800,3727900,0,6497000,7362100,0,329,506,6255147,Asia,1269750,India,21.1666667,72.8333333,1270770,State of Gujar��t,,,,,,,,,
43604,SUJIAWAN,2566800,2136900,2136900,2037700,1678500,1678500,1260,1270,1270,6255147,Asia,1814991,China,36.694444,114.196389,1808773,Hebei,,,,,,,,,
62968,SHENYANG HUANGGU,0,2138700,2138700,0,1946600,1946600,0,1100,1100,6255147,Asia,1814991,China,43.022764,124.25487,2036115,Liaoning,,,,,,,,,
11400,DUBURI STEEL PLANT,0,2139000,2139000,0,1694000,1694000,0,1260,1260,6255147,Asia,1269750,India,20.85,86.3333333,1261029,State of Orissa,,,,,,,,,
5022,BOBOV DOL,2662500,2140000,4820200,1933300,1617400,3686500,1380,1320,1310,6255148,Europe,732800,Bulgaria,42.285164,23.0344,864554,Oblast Kyustendil,,,,,,,,,
46653,TURKMENBASHI-1,2228600,2141600,2141600,2504000,2365700,2365700,890,905,905,6255147,Asia,1218197,Turkmenistan,40.022158,52.955175,162152,Balkan Wela�_aty,,601594,T�_rkmenba��y,,,,,,
18870,C R HUNTLEY GENERATING STATION,3338500,2143600,0,3140700,2027600,0,1060,1060,0,6255149,North America,6252001,United States,42.97,-78.93,5128638,New York,14150,7259084,Tonawanda,99999160,"Buffalo-Niagara-Cattaraugus, NY",5116642,Erie County,99993628,Louise M. Slaughter
21256,KARAGANDA TPS-2,1877000,2144500,2144500,1479900,1672000,1672000,1270,1280,1280,6255147,Asia,1522867,Kazakhstan,50.054444,72.948333,1523401,Qaraghandy Oblysy,47231,1518262,Temirtau,,,,,,
70462,JACK MCDONOUGH,3100900,2145700,2145700,3258100,2072600,2072600,952,1040,1040,6255149,North America,6252001,United States,33.8244,-84.475,4197000,Georgia,30080,4223379,Smyrna,99999122,"Atlanta-Sandy Springs-Gainesville, GA-AL",4188547,Cobb County,99991306,Tom Price
65489,HENAN HEBI,0,2153800,2153800,0,1691800,1691800,0,1270,1270,6255147,Asia,1814991,China,35.8991667,114.1925,1808520,Henan Sheng,,1808770,Hebi,,,,,,
255,ADAPAZARI INTERGEN,1614000,2156200,2156200,3950400,5222100,5222100,409,413,413,6255147,Asia,298795,Turkey,40.7805556,30.4033333,740352,Sakarya,54000,752850,Adapazar��,,,,,,
25081,CHEMPARK LEVERKUSEN,1951800,2156300,2156300,1594900,1635300,1635300,1220,1320,1320,6255148,Europe,2921044,Germany,51.0333333,7,2861876,North Rhine-Westphalia,51369,2878234,Leverkusen,,,,,,
27173,MARCHWOOD POWER,0,2159500,2159500,0,4943100,4943100,0,437,437,6255148,Europe,2635167,United Kingdom,50.90394649,-1.404282055,6269131,England,SO40 ,2637487,Southampton,,,,,,
10134,DAMHEAD CREEK,1850000,2160000,3507600,4278200,5077800,7822900,432,425,448,6255148,Europe,2635167,United Kingdom,51.428069,0.6115655,6269131,England,,,,,,,,,
45556,TITAGARH,1659200,2169200,2169200,1316300,1732000,1732000,1260,1250,1250,6255147,Asia,1269750,India,22.7363889,88.3736111,1252881,Bengal,,,,,,,,,
3869,BELAWAN (MEDAN),1602300,2170200,2170200,2946000,3915100,3915100,544,554,554,6255147,Asia,1643084,Indonesia,3.5833333,98.6666667,1213642,North Sumatra,,1214520,Medan,,,,,,
50660,YENIKOY,1710400,2171100,2171100,1455400,1875500,1875500,1180,1160,1160,6255147,Asia,298795,Turkey,37.3163889,27.7838889,304183,Mu��la,48201,,,,,,,,
38594,SAGUNTO,0,2180000,2180000,0,5539200,5539200,0,394,394,6255148,Europe,2510769,Spain,39.642933,-0.232755,2593113,Valencia,,2511619,Sagunto,,,,,,
8461,CHITA-1,1835100,2181400,2181400,1358500,1566300,1566300,1350,1390,1390,6255148,Europe,2017370,Russia,52.0333333,113.55,7779061,Zabaykal�۪skiy Kray,,2025339,Chita,,,,,,
40990,SHENHAI,2585600,2184900,2184900,2049500,1847200,1847200,1260,1180,1180,6255147,Asia,1814991,China,41.7922222,123.4327778,2036115,Liaoning,,2034937,Shenyang,,,,,,
70505,DALLMAN 1,2196700,2186100,2186100,1934600,1835600,1835600,1140,1190,1190,6255149,North America,6252001,United States,39.7539,-89.6011,4896861,Illinois,62703,4250542,Springfield,,,4249472,Sangamon County,99991719,John Shimkus
22110,KILLINGHOLME-B,2004900,2190000,2510300,4426300,4880900,5483100,453,449,458,6255148,Europe,2635167,United Kingdom,53.653342,-0.255285,6269131,England,DN40 ,,,,,,,,
7903,CHANGHUA PLANT,2139500,2194600,2194600,1705300,1743300,1743300,1250,1260,1260,6255147,Asia,1668284,Taiwan,24.081597,120.538464,7280291,Taiwan,,,,,,,,,
18677,HUANGBIZHUANG,3923400,2195800,0,3405100,1909700,0,1150,1150,0,6255147,Asia,1814991,China,38.2494444,114.3125,1808773,Hebei,,,,,,,,,
51287,ZHUJIANG,4087200,2196900,8984900,3656100,1909700,8649000,1120,1150,1040,6255147,Asia,1814991,China,23.1166667,113.25,1809935,Guangdong Sheng,,1809858,Guangzhou,,,,,,
29845,MUNCHEN NORD,2210100,2200000,2200000,2420900,2184200,2184200,913,1010,1010,6255148,Europe,2921044,Germany,48.18117717,11.63984435,2951839,Bavaria,85774,,,,,,,,
26127,LUEYANG,691860,2201900,0,641510,1958300,0,1080,1120,0,6255147,Asia,1814991,China,37.6141667,112.44,1795912,Shanxi Sheng,,,,,,,,,
36675,RAS ABU FONTAS A,3628800,2206500,2206500,4371300,2679800,2679800,830,823,823,6255147,Asia,289688,Qatar,25.27931551,51.52244568,389470,Balad��yat ad Daw���ah,,290030,Doha,,,,,,
41009,SHENZHEN SCUPC,4077900,2207700,2207700,3530600,1922600,1922600,1160,1150,1150,6255147,Asia,1814991,China,22.54553766,114.0682983,1809935,Guangdong Sheng,,1795565,Shenzhen,,,,,,
27932,MEIXIAN,2848000,2208100,2208100,2259200,1913700,1913700,1260,1150,1150,6255147,Asia,1814991,China,23.7,113.0333333,1809935,Guangdong Sheng,,1797945,Qingyuan,,,,,,
39627,SANTA RITA BATANGAS,1477200,2208500,2208500,3783600,5967700,5967700,390,370,370,6255147,Asia,1694008,Philippines,14.3122222,121.1113889,7521303,Calabarzon,,1687894,Santa Rosa,,,,,,
6653,CALACA,2174500,2209100,5002300,2004600,1859800,4203100,1080,1190,1190,6255147,Asia,1694008,Philippines,13.932438,120.813267,7521303,Calabarzon,,,,,,,,,
10525,DELTA ENERGY CENTER,2464400,2209400,2209400,5614700,5013300,5013300,439,441,441,6255149,North America,6252001,United States,38.0167,-121.8439,5332921,California,94565,5383465,Pittsburg,99999488,"San Jose-San Francisco-Oakland, CA",5339268,Contra Costa County,99990607,George Miller
12709,ESCOMBRERAS,996100,2210700,2210700,1487700,4880000,4880000,670,453,453,6255148,Europe,2510769,Spain,37.605121,-0.986232,2513413,Murcia,30290,2520058,Cartagena,,,,,,
51294,HUADIAN ZIBO,3607700,2213000,3881200,2863800,1847000,3605800,1260,1200,1080,6255147,Asia,1814991,China,36.7905556,118.0633333,1796328,Shandong Sheng,,1785286,Zibo,,,,,,
50674,YIBIN DOUBA,1181800,2218000,0,934560,1763700,0,1260,1260,0,6255147,Asia,1814991,China,28.766667,104.623832,1794299,Sichuan Sheng,,1786770,Yibin,,,,,,
24822,LEDVICE,2110000,2220000,6064700,1545200,1745700,5213800,1370,1270,1160,6255148,Europe,3077311,Czech Republic,50.57638889,13.78055556,3339577,�_steck�_ kraj,41848,,,,,,,,
9468,CORYTON INTERGEN,1928500,2220000,2220000,4458500,5326200,5326200,433,417,417,6255148,Europe,2635167,United Kingdom,51.51232,0.5052564,6269131,England,SS17 ,,,,,,,,
45373,TIANJIN ETHYLENE,0,2228500,2228500,0,1750300,1750300,0,1270,1270,6255147,Asia,1814991,China,39.1422222,117.1766667,1792943,Tianjin Shi,,1792947,Tianjin,,,,,,
42628,SPALDING INTERGEN,721000,2230000,4270400,1677500,5250900,9656400,430,425,442,6255148,Europe,2635167,United Kingdom,52.807848,-0.132206,6269131,England,PE11 ,,,,,,,,
1797,APACHE STATION,2945500,2234700,2234700,2835700,2099300,2099300,1040,1060,1060,6255149,North America,6252001,United States,32.0619,-109.8931,5551752,Arizona,85606,,,,,5290270,Cochise County,99990408,Ron Barber
50433,YAKUTSK,2493700,2236800,1713300,2690600,2452900,1814200,927,912,944,6255148,Europe,2017370,Russia,62.0338889,129.7330556,2013162,Respublika Sakha (Yakutiya),,2013159,Yakutsk,,,,,,
70511,MICHIGAN CITY,2990400,2239000,2239000,2704300,2103000,2103000,1110,1060,1060,6255149,North America,6252001,United States,41.7203,-86.9097,4921868,Indiana,46360,,,,,4922460,LaPorte County,99991802,Joe Donnelly
62970,TAICANG HAILONG MILL,0,2239700,2239700,0,1759200,1759200,0,1270,1270,6255147,Asia,1814991,China,31.447778,121.093889,1806260,Jiangsu Sheng,,,,,,,,,
62915,RENPING HUAXIN,0,2239700,2239700,0,1759200,1759200,0,1270,1270,6255147,Asia,1814991,China,37.1666667,117.3666667,1796328,Shandong Sheng,,,,,,,,,
43614,SULCIS,3932700,2240000,2240000,4306500,2792600,2792600,913,802,802,6255148,Europe,3175395,Italy,39.195278,8.4,2523228,Sardinia,,,,,,,,,
423,AGUA DEL CAJON,2330900,2244100,2244100,4807700,4539700,4539700,485,494,494,6255150,South America,3865483,Argentina,-38.951606,-68.059102,3843122,Provincia del Neuqu̩n,8316,3843123,Neuqu̩n,,,,,,
17487,HENNEPIN POWER STATION,2164600,2248700,2248700,2013200,2129100,2129100,1080,1060,1060,6255149,North America,6252001,United States,41.3017,-89.3136,4896861,Illinois,61327,,,,,4906962,Putnam County,99991718,Aaron Schock
24247,LAMAR POWER PROJECT,1590900,2249400,2249400,3632800,5188100,5188100,438,434,434,6255149,North America,6252001,United States,33.6314,-95.589,4736286,Texas,75462,,,,,4705086,Lamar County,99994804,Ralph M. Hall
14905,GENK-LANGERLO,2660000,2250000,2250000,2992900,2590300,2590300,889,869,869,6255148,Europe,2802361,Belgium,50.934049,5.478404,3337388,Flanders,3600,2797670,Genk,,,,,,
1850,AQABA,2166300,2256200,2256200,2522900,2826800,2826800,859,798,798,6255147,Asia,248816,Jordan,29.5266667,35.0077778,443122,Aqaba,,250774,Aqaba,,,,,,
12745,ESHKOL,1834700,2259200,1426200,2958200,4459800,2926200,620,507,487,6255147,Asia,294640,Israel,31.816667,34.65,294952,Southern District,77100,295629,Ashdod,,,,,,
35446,PORTLAND (US),1998400,2259300,2259300,2180800,2283600,2283600,916,989,989,6255149,North America,6252001,United States,40.91,-75.0789,6254927,Pennsylvania,18351,,,,,5203809,Northampton County,99994215,Charlie Dent
5807,BRINDISI ENIPOWER,0,2260000,2111700,0,5149100,5547400,0,439,381,6255148,Europe,3175395,Italy,40.634722,18.009722,3169778,Apulia,72100,3181528,Brindisi,,,,,,
20356,JINAN,2156600,2261200,0,3079400,2538100,0,700,891,0,6255147,Asia,1814991,China,36.6683333,116.9972222,1796328,Shandong Sheng,,1805753,Jinan,,,,,,
31686,NORTHPORT,5210100,2262500,2262500,6684600,3262500,3262500,779,693,693,6255149,North America,6252001,United States,40.9231,-73.3417,5128638,New York,11768,,,99999408,"New York-Newark-Bridgeport, NY-NJ-CT-PA",5140076,Suffolk County,99993602,Steve Israel
10475,DEIR-ALI,0,2264000,3237600,0,4556600,6394000,0,497,506,6255147,Asia,163843,Syria,33.282081,36.301986,170652,Rif-dimashq,,,,,,,,,
19727,ITABO,1306000,2267800,2267800,1673400,2647800,2647800,780,856,856,6255149,North America,3508796,Dominican Republic,18.391663,-70.042622,3493186,Provincia de San Crist�_bal,,,,,,,,,
29453,MOSCOW-03 KLASSON,520080,2272100,2272100,615230,2794000,2794000,845,813,813,6255148,Europe,2017370,Russia,55.884309,38.786403,524925,Moskovskaya,,,,,,,,,
44927,TELUK GONG (PANGLIMA),2291400,2275200,2275200,5184400,4311500,4311500,442,528,528,6255147,Asia,1733045,Malaysia,2.3594,102.0353,1733035,Melaka,78200,,,,,,,,
32664,OPATOVICE,2730000,2280000,2780500,2163100,1678600,2070500,1260,1360,1340,6255148,Europe,3077311,Czech Republic,50.12703056,15.791825,3339574,Pardubick�_ kraj,53213,3068582,Pardubice,,,,,,
28105,MERI-PORI,2908500,2280000,2280000,3533700,2247900,2247900,823,1010,1010,6255148,Europe,660013,Finland,61.632559,21.405709,828989,Province of Western Finland,,,,,,,,,
44648,TARONG NORTH,1983100,2282000,2282000,2834000,3042300,3042300,700,750,750,6255151,Oceania,2077456,Australia,-26.6666667,152,2152274,Queensland,,,,,,,,,
65924,JINING YANGCHEN,0,2283800,2283800,0,1793900,1793900,0,1270,1270,6255147,Asia,1814991,China,35.405,116.5813889,1796328,Shandong Sheng,,1805518,Jining,,,,,,
18693,YUEHUA (HUANGPU),5325800,2284200,2284200,5544000,1816600,1816600,961,1260,1260,6255147,Asia,1814991,China,22.7211183,113.3375065,1809935,Guangdong Sheng,51073,,,,,,,,
46334,TRIPOLI WEST,2325900,2284600,11756000,2635200,1910200,14728000,883,1200,798,6255146,Africa,2215636,Libya,32.87519008,13.18745613,2210245,Sha���b��yat ��ar��bulus,,2210247,Tripoli,,,,,,
24384,LANGAGE,0,2290400,2290400,0,5213800,5213800,0,439,439,6255148,Europe,2635167,United Kingdom,50.39073647,-4.060220718,6269131,England,PL7 5,,,,,,,,
38315,RUWAIS REFINERY,2989800,2291200,2291200,3103400,3174700,3174700,963,722,722,6255147,Asia,290557,United Arab Emirates,24.1102778,52.7305556,292969,Abu Dhabi,,,,,,,,,
16269,GUJIAO,0,2294100,11921000,0,2289100,9763000,0,1000,1220,6255147,Asia,1814991,China,35.6963889,113.5077778,1795912,Shanxi Sheng,,,,,,,,,
4764,BISTOUN,1229900,2295500,2695600,2235600,3388300,6715000,550,677,401,6255147,Asia,130758,Iran,34.3996,47.445,128222,Ost��n-e Kerm��nsh��h,,,,,,,,,
62954,HUAIYIN,0,2295800,4296300,0,2196400,5090400,0,1050,844,6255147,Asia,1814991,China,33.503889,119.144167,1806260,Jiangsu Sheng,,,,,,,,,
4787,BIYSK-1,2112000,2295900,2295900,1658300,1789500,1789500,1270,1280,1280,6255148,Europe,2017370,Russia,52.536389,85.207222,1511732,Altayskiy Kray,65933,1510018,Biysk,,,,,,
41674,SIMMERING,1929300,2296500,2296500,2780900,4562600,4562600,694,503,503,6255148,Europe,2782113,Austria,48.20848776,16.37207508,2761367,Vienna,,2761369,Vienna,,,,,,
4358,BHILAI,0,2310100,2310100,0,2208000,2208000,0,1050,1050,6255147,Asia,1269750,India,21.1833333,81.2833333,1444364,State of Chhatt��sgarh,,1272181,Durg,,,,,,
18845,HUNJIANG-1,4066000,2312000,0,3243700,1892900,0,1250,1220,0,6255147,Asia,1814991,China,41.9430556,126.4286111,2036500,Jilin Sheng,,2038584,Baishan,,,,,,
20284,JIAMUSI-1,3264900,2313500,0,2591600,1799300,0,1260,1290,0,6255147,Asia,1814991,China,46.8333333,130.35,2036965,Heilongjiang Sheng,,2036581,Jiamusi,,,,,,
33923,PAWNEE,3844800,2313900,2313900,3519300,2100500,2100500,1090,1100,1100,6255149,North America,6252001,United States,40.2217,-103.6803,5417618,Colorado,80723,,,,,5580055,Morgan County,99990804,Cory Gardner
29236,MONTERREY,2100500,2316000,2316000,4090100,4390600,4390600,514,527,527,6255149,North America,3996063,Mexico,25.75,-100.3,3522542,Nuevo Le�_n,66440,3985241,San Nicol��s de los Garza,,,,,,
25187,LIDIO PEREZ (FELTON),1835500,2318100,2318100,1481900,3090000,3090000,1240,750,750,6255149,North America,3562981,Cuba,20.6541667,-75.6819444,3556965,Provincia de Holgu�_n,,,,,,,,,
