id,name,carbon/past,val,carbon/future,energy/past,energy/present,energy/future,intensity/past,intensity/present,intensity/future,location/continent/id,location/continent/value,location/country/id,location/country/value,lat,lon,location/state/id,location/state/value,location/zip,location/city/id,location/city/value,location/metroarea/id,location/metroarea/value,location/county/id,location/county/value,location/congdist/id,location/congdist/value
3002,BALDWIN ENERGY COMPLEX,13835000,13037000,13037000,13168000,12186000,12186000,1050,1070,1070,6255149,North America,6252001,United States,38.205,-89.855,4896861,Illinois,62217,,,,,4247802,Randolph County,99991712,Jerry F. Costello
22899,KOSTROMA SDPP,15838000,13063000,13063000,18013000,16369000,16369000,879,798,798,6255148,Europe,2017370,Russia,57.439307,41.155532,543871,Kostromskaya Oblast�۪,,,,,,,,,
39239,SAN JUAN (US),13765000,13081000,13081000,12524000,11718000,11718000,1100,1120,1120,6255149,North America,6252001,United States,36.8006,-108.4386,5481136,New Mexico,87421,,,,,5489698,San Juan County,99993503,Ben Ray Lujan
17469,HENDRINA,13262000,13114000,13114000,12357000,12143000,12143000,1070,1080,1080,6255146,Africa,953987,South Africa,-26.03305556,29.6,1085595,Mpumalanga,1096,,,,,,,,
20468,JOHN E AMOS,16103000,13340000,13340000,16380000,12482000,12482000,983,1070,1070,6255149,North America,6252001,United States,38.4731,-81.8233,4826850,West Virginia,25213,,,,,4819197,Putnam County,99995402,Shelley Moore Capito
3893,BELEWS CREEK,13384000,13388000,13388000,14921000,14664000,14664000,897,913,913,6255149,North America,6252001,United States,36.2811,-80.0603,4482348,North Carolina,27052,,,99999268,"Greensboro--Winston-Salem--High Point, NC",4493539,Stokes County,99993705,Virginia Foxx
38298,RUTENBERG,13362000,13398000,15733000,15583000,14895000,20084000,857,899,783,6255147,Asia,294640,Israel,31.6666667,34.5833333,294952,Southern District,,295620,Ashqelon,,,,,,
25185,LIDDELL,13405000,13399000,13399000,11484000,12292000,12292000,1170,1090,1090,6255151,Oceania,2077456,Australia,-32.37388889,150.9777778,2155400,New South Wales,2333,,,,,,,,
2089,ARNOT,13310000,13604000,13604000,13630000,13228000,13228000,977,1030,1030,6255146,Africa,953987,South Africa,-25.94388889,29.78944444,1085595,Mpumalanga,1097,,,,,,,,
12646,ERMAKOV,13033000,13715000,13715000,10271000,10689000,10689000,1270,1280,1280,6255147,Asia,1522867,Kazakhstan,52.0333333,76.9166667,1520239,Pavlodar Oblysy,,,,,,,,,
7401,CASTLE PEAK,13561000,13721000,13721000,14538000,14477000,14477000,933,948,948,6255147,Asia,1819730,Hong Kong (China),22.37555556,113.92,,,,,,,,,,99997298,
36960,REFTINSKAYA SDPP,15372000,14043000,14043000,11767000,11562000,11562000,1310,1210,1210,6255148,Europe,2017370,Russia,57.10666667,61.71166667,1490542,Sverdlovskaya Oblast�۪,,,,,,,,,
33633,PARADISE,13455000,14207000,14207000,14120000,14254000,14254000,953,997,997,6255149,North America,6252001,United States,37.2608,-86.9783,6254925,Kentucky,42337,,,,,4301955,Muhlenberg County,99992101,Ed Whitfield
9711,CROSS,8969000,14257000,14257000,8618000,14620000,14620000,1040,975,975,6255149,North America,6252001,United States,33.3692,-80.1119,4597040,South Carolina,29436,,,,,4570707,Berkeley County,99994506,James E. Clyburn
43725,SUNDANCE (AB),16273000,14386000,8605000,15272000,16086000,11108000,1070,894,775,6255149,North America,6251999,Canada,53.5075,-114.5572222,5883102,Alberta,T0E 0,,,,,,,,
18542,HOUSHI,10556000,14396000,14396000,15817000,15453000,15453000,667,932,932,6255147,Asia,1814991,China,24.30305556,118.1263889,1811017,Fujian,,,,,,,,,
52280,DATONG-2,0,14602000,14602000,0,15812000,15812000,0,923,923,6255147,Asia,1814991,China,40.02888889,113.2936111,1795912,Shanxi Sheng,,,,,,,,,
