id,name,val,lat,lon
72160,PLAQUEMINE COGENERATION PLANT,1477200,30.3215,-91.2392
40995,SHENYANG PUH,1479200,41.7922222,123.4327778
47292,URQUHART,1479400,33.435,-81.9111
45410,TIEFSTACK ERSATZ,1480000,53.52606672,10.06549983
21668,KEADBY POWER,1480000,53.594454,-0.750457
25465,LIUZHOU,1482700,24.312582,109.389157
17548,HERMISTON POWER PARTNERSHIP,1484500,45.7931,-119.3117
11163,DORMAGEN RWE,1490000,51.08001594,6.827090823
28082,PSEG MERCER GENERATING STATION,1491800,40.1797,-74.7325
42570,TVA SOUTHAVEN COMBINED CYCLE,1492500,34.9939,-90.039
38786,SAKHALIN GRES,1493100,49.2166667,143.1166667
50688,YIMA,1494000,34.7380556,111.8838889
351,AFAM-VI,1495600,4.777423,7.013404
2039,ARKHANGELSK PULP MILL,1495700,64.422867,40.805346
6696,CALEDONIA,1496300,33.6464,-88.2717
10448,DEERHAVEN GENERATING STATION,1498200,29.7586,-82.3883
30225,NAIE,1498300,43.4183333,141.8877778
35121,POLK,1500100,27.7286,-81.9897
31799,NOVO-SALAVAT,1504700,53.38365,55.907729
29983,MUSCATINE PLANT #1,1504800,41.3917,-91.0569
43789,SUNRISE POWER LLC,1506000,35.2097,-119.585
58985,MINJIANG,1506100,32.4039455,103.7178395
42909,SEVERNAYA,1506600,61.1666667,29.3833333
36026,PULAU SAKRA,1509600,1.3341667,103.7227778
22458,KLINGENBERG,1510000,52.49003031,13.49598008
18071,HOHHOT FENGTAI,1512300,40.8105556,111.6522222
47625,VALLADOLID-3,1512900,20.68811834,-88.19935799
19564,IRKUTSK-09,1515300,52.536667,103.886389
38768,SAKAIDE,1515400,34.3166667,133.85
65931,NANYANG PUGUANG,1517500,32.9947222,112.5327778
24452,LANSING,1521800,43.3359,-91.1672
35397,PORT OF SPAIN,1522200,10.66617495,-61.51657104
23337,KUQA (KUCHE),1526100,41.1230556,80.2644444
57710,XINJIANG TULUFAN,1526100,42.9333333,89.1666667
45050,TERMOBARRANQUILLA,1527800,10.9638889,-74.7963889
58338,KRASNOYARSK-2,1528700,56.0097222,92.7916667
34724,PIOMBINO ENEL,1530000,42.941389,10.543889
45363,TIANDONG,1532700,23.126576,107.093693
71038,NEARMAN CREEK,1535400,39.1714,-94.6958
66192,AKESU,1537700,41.1230556,80.2644444
28298,MICHOUD,1539400,30.0081,-89.9372
22399,KLADNO,1540000,50.15341667,14.12850556
2040,ARKHANGELSK-1,1542100,64.546794,40.546762
16162,GUANGZHOU REFINERY,1542500,22.7211183,113.3375065
38174,RS COGEN,1543500,30.221,-93.2826
33575,PANKI,1544000,26.4666667,80.2166667
7106,CARDON GENEVAPCA,1544700,11.6580556,-70.215
50178,WUGANG,1545500,38.1452778,115.6841667
5808,BRINDISI MONTEDISON,1560000,40.643056,17.980833
28460,MILFORD POWER PROJECT,1563200,41.2239,-73.1
18747,PSEG HUDSON GENERATING STATION,1567600,40.7478,-74.0719
9536,COTTONWOOD ENERGY PROJECT,1570600,30.2588,-93.7353
25433,LITTLE GYPSY,1572800,30.0033,-90.4611
7939,CHANNELVIEW COGENERATION PLANT,1573600,29.8356,-95.1242
4271,BETHLEHEM ENERGY CENTER,1575000,42.5905,-73.7636
42332,SON DONG,1576900,21.4166667,106.6166667
20796,KAIFENG-1,1577000,34.7911111,114.3483333
38362,RYE HOUSE-II,1580000,51.761615,0.0087766
50350,XINGNING,1580200,24.144552,115.717307
16898,HARDUAGANJ,1583100,27.95,78.1666667
20336,JIJEL,1585400,36.82055379,5.766706467
31804,NOVOCHEBOKSARSKAYA,1588900,56.110947,47.47755
1376,AMMAN EAST,1589300,31.892896,36.078066
2696,AYOUN MOUSSA,1589400,29.973714,32.526267
24008,LADA,1590700,43.30750477,-5.690917969
37773,ROCKY MOUNTAIN ENERGY CENTER,1592300,40.0911,-104.5947
41499,SIDI KRIR-I,1592700,31.0891667,29.5913889
49302,WEST (VOERDE),1600000,51.57611809,6.68416779
41596,SIKKA,1601700,22.4333333,69.8333333
33849,PATHADI,1603300,22.35,82.6833333
35522,POSSUM POINT,1603600,38.5367,-77.2806
65275,WISCO ELECTRIC,1607100,36.694444,114.196389
45772,TOMAKOMAI MILL,1609000,42.6369444,141.6033333
60893,DALIAN REFINERY,1609100,38.9122222,121.6022222
35615,POZNAN KAROLIN,1610000,52.436111,16.988888
45057,TERMOELECTRICA MEXICALI,1614100,32.6519444,-115.4683333
8087,CHEBOKSARY-2,1619700,56.1322222,47.2519444
23877,LA ROBLA FENOSA,1620500,42.80302,-5.62904
59556,DATONG MINE,1621600,40.039522,113.604551
8871,CLINCH RIVER,1622000,36.9333,-82.1997
47262,URAN,1624800,18.25,73.4333333
31798,NOVO-RYAZAN,1625200,54.6269,39.6916
50526,YANBU SWCC,1625700,24.089119,38.063742
15819,GREEN COUNTRY ENERGY LLC,1625800,35.9833,-95.9346
7868,CHANA,1627000,6.915417,100.740389
32559,OMSK-3,1627500,55,73.4
63454,SHENHUA HAIBOWAN,1627900,39.664722,106.812222
48901,WANSLEY COMBINED CYCLE,1628900,33.4124,-85.0344
13959,FRANK E RATTS,1629100,38.5201,-87.2662
12698,ESCATRON,1630000,41.296097,-0.337601
20810,KAINAN,1633800,34.15,135.2
30398,NANHAI CKI,1635600,23.0219255,113.1427765
44830,TECUMSEH ENERGY CENTER,1638800,39.0522,-95.5669
65986,IRSCHING-5,1639900,48.7666667,11.6166667
323,AES CAYUGA,1644200,42.6028,-76.6336
20574,COOPER (1384),1644300,37,-84.5917
339,AES RED OAK LLC,1644400,40.4481,-74.3497
10476,DEIR-AMMAR,1647100,34.4575,35.9052778
21968,KHARANOR,1649500,50.083333,116.666667
